dataset;relative;absolute;naive_occurrences;deletion_occurrences;projection_occurrences;naive_size;deletion_size;projection_size;num;abs;perfect;reject_naive;reject_deletion;reject_projection;deletion_rate;projection_rate;naive_auc;deletion_auc;projection_auc
connect.bin;0.2;13512;5.94E+17;5.98E+16;1.88E+15;2.90E+06;2.66E+06;4.82E+07;connect.num;13511;1.10511E+14;0.999814029;0.998152203;0.941371883;0.914431603;16.58155026;0.049992842;0.049902014;0.047063088
connect.bin;0.15;10134;5.94E+17;1.29E+17;5.19E+15;2.90E+06;2.73E+06;5.13E+07;connect.num;13511;1.10511E+14;0.999814029;0.999144049;0.978700732;0.938932189;17.66138121;0.049990701;0.049932406;0.048001815
connect.bin;0.1;6756;5.94E+17;2.47E+17;1.57E+16;2.90E+06;2.79E+06;5.43E+07;connect.num;13511;1.10511E+14;0.999814029;0.999552361;0.992964446;0.961301929;18.69435285;0.049990701;0.04996741;0.049291629
connect.bin;0.05;3378;5.94E+17;4.26E+17;7.18E+16;2.90E+06;2.86E+06;5.79E+07;connect.num;13511;1.10511E+14;0.999814029;0.999740293;0.998460607;0.984092331;19.92340353;0.074986052;0.074975824;0.074747142
crx.bin;1;690;4.37E+07;690;690;10973;0;0;crx.num;690;690;0.999984225;0;0;0;0;0;0;0
crx.bin;0.95;656;4.37E+07;690;690;10973;0;0;crx.num;655;690;0.999984225;0;0;0;0;0.049999211;0;0
crx.bin;0.90000004;621;4.37E+07;1315;1315;10973;625;0;crx.num;621;1315;0.999969937;0;0;0.056957988;0;0.049998854;0;0
crx.bin;0.85;587;4.37E+07;1315;1315;10973;625;0;crx.num;586;1315;0.999969937;0;0;0.056957988;0;0.049998497;0;0
crx.bin;0.8;552;4.37E+07;1315;1315;10973;625;0;crx.num;552;1315;0.999969937;0;0;0.056957988;0;0.049998497;0;0
crx.bin;0.75;518;4.37E+07;4294;2872;10973;1663;519;crx.num;517;2872;0.999934341;0.331159758;0;0.151553814;0.047297913;0.049997607;0.008278994;0
crx.bin;0.7;483;4.37E+07;4294;2872;10973;1663;519;crx.num;483;2872;0.999934341;0.331159758;0;0.151553814;0.047297913;0.049996717;0.016557988;0
crx.bin;0.65000004;449;4.37E+07;7138;4762;10973;2131;1467;crx.num;448;4762;0.999891132;0.332866349;0;0.194203955;0.133691789;0.049995637;0.016600653;0
crx.bin;0.6;415;4.37E+07;7138;5179;10973;2131;1884;crx.num;414;5179;0.999881599;0.274446624;0;0.194203955;0.171694158;0.049994318;0.015182824;0
crx.bin;0.55;380;4.37E+07;48842;7146;10973;3703;2279;crx.num;379;7146;0.99983663;0.853691495;0;0.337464686;0.207691607;0.049992956;0.028203453;0
crx.bin;0.5;345;4.37E+07;98600;8241;10973;4438;2639;crx.num;345;8241;0.999811596;0.916419878;0;0.40444728;0.240499408;0.049991206;0.044252784;0
crx.bin;0.45000002;311;4.37E+07;195368;12860;10973;5083;5009;crx.num;310;11933;0.999727191;0.938920396;0.072083981;0.463227923;0.456484097;0.04998847;0.046383507;0.0018021
crx.bin;0.4;276;4.37E+07;514368;27197;10973;6275;10540;crx.num;276;23006;0.999474043;0.955273267;0.154097878;0.571858197;0.960539506;0.049980031;0.047354842;0.005654546
crx.bin;0.35;242;4.37E+07;1220864;58498;10973;7028;15186;crx.num;241;38516;0.999119457;0.96845185;0.341584328;0.640481181;1.383942404;0.049964837;0.048093128;0.012392055
crx.bin;0.3;208;4.37E+07;1.22E+07;140853;10973;9478;21645;crx.num;207;59757;0.99863385;0.995094448;0.575749185;0.863756493;1.972569033;0.049943833;0.049088657;0.022933338
crx.bin;0.25;173;4.37E+07;1.22E+07;239512;10973;9478;28711;crx.num;172;95597;0.997814485;0.992152283;0.600867597;0.863756493;2.61651326;0.049911208;0.049681168;0.02941542
crx.bin;0.2;138;4.37E+07;1.68E+07;593024;10973;9942;39691;crx.num;138;163735;0.996256731;0.990259064;0.72389819;0.906042103;3.617151189;0.04985178;0.049560284;0.033119145
crx.bin;0.15;104;4.37E+07;2.28E+07;1562438;10973;10216;51268;crx.num;103;313769;0.992826692;0.986231013;0.799179871;0.931012485;4.672195389;0.049727086;0.049412252;0.038076952
crx.bin;0.1;69;4.37E+07;2.52E+07;8441016;10973;10294;64438;crx.num;69;674728;0.984574537;0.973273543;0.920065547;0.938120842;5.872414107;0.049435031;0.048987614;0.042981135
crx.bin;0.05;35;4.37E+07;4.09E+07;1.95E+07;1.10E+04;1.09E+04;7.35E+04;crx.num;34;2036294;0.953446756;0.950258433;0.895720455;0.99015766;6.701995808;0.072286701;0.07184476;0.067787661
hypo.bin;1;3163;1.27E+09;3163;3163;57931;0;0;hypo.num;3163;3163;0.999997507;0;0;0;0;0;0;0
hypo.bin;0.95;3005;1.27E+09;1457024;294862;57931;27812;73183;hypo.num;3004;173788;0.999863038;0.880723996;0.410612422;0.480088381;1.263278728;0.049996514;0.0220181;0.010265311
hypo.bin;0.90000004;2847;1.27E+09;5388288;1638120;57931;33654;137509;hypo.num;2846;813741;0.999358691;0.848979676;0.503247015;0.580932489;2.373668675;0.049980543;0.043242592;0.022846486
hypo.bin;0.85;2689;1.27E+09;9960448;5393690;57931;36356;165428;hypo.num;2688;2182100;0.998280288;0.780923509;0.595434665;0.627574183;2.855604081;0.049940974;0.04074758;0.027467042
hypo.bin;0.8;2531;1.27E+09;9960448;6626048;57931;36356;186459;hypo.num;2530;4030445;0.996823608;0.595355048;0.391727165;0.627574183;3.218639416;0.049877597;0.034406964;0.024679046
hypo.bin;0.75;2373;1.27E+09;9960448;9960448;57931;36356;191444;hypo.num;2372;6033305;0.995245155;0.394273731;0.394273731;0.627574183;3.304690062;0.049801719;0.024740719;0.019650022
hypo.bin;0.7;2215;1.27E+09;9960448;9960448;57931;36356;191444;hypo.num;2214;7952623;0.993732542;0.201579788;0.201579788;0.627574183;3.304690062;0.049724442;0.014896338;0.014896338
hypo.bin;0.65000004;2056;1.27E+09;1.65E+07;1.10E+07;5.79E+04;3.85E+04;2.11E+05;hypo.num;2055;9496343;0.992515937;0.425114065;0.132988434;0.665239682;3.634979545;0.049656212;0.015667346;0.008364206
hypo.bin;0.6;1898;1.27E+09;1.65E+07;1.36E+07;5.79E+04;3.85E+04;2.15E+05;hypo.num;1897;10713164;0.99155696;0.351450626;0.211198295;0.665239682;3.703630181;0.049601822;0.019414117;0.008604668
hypo.bin;0.55;1740;1.27E+09;1.65E+07;1.65E+07;5.79E+04;3.85E+04;2.16E+05;hypo.num;1739;12163178;0.990414205;0.26367024;0.26367024;0.665239682;3.734649842;0.049549279;0.015378022;0.011871713
hypo.bin;0.5;1582;1.27E+09;1.65E+07;1.65E+07;5.79E+04;3.85E+04;2.16E+05;hypo.num;1581;13720031;0.98918725;0.169422076;0.169422076;0.665239682;3.734649842;0.049490036;0.010827308;0.010827308
hypo.bin;0.45000002;1424;1.27E+09;1.65E+07;1.65E+07;5.79E+04;3.85E+04;2.16E+05;hypo.num;1423;15216607;0.988007799;0.078822938;0.078822938;0.665239682;3.734649842;0.049429876;0.006206125;0.006206125
hypo.bin;0.4;1266;1.27E+09;1.65E+07;1.65E+07;5.79E+04;3.85E+04;2.16E+05;hypo.num;1265;16293832;0.987158839;0.013610308;0.013610308;0.665239682;3.734649842;0.049379166;0.002310831;0.002310831
hypo.bin;0.35;1108;1.27E+09;2.27E+07;1.71E+07;5.79E+04;3.97E+04;2.27E+05;hypo.num;1107;16661438;0.986869129;0.267107989;0.0241586;0.685384337;3.912948162;0.049350699;0.007017957;0.000944223
hypo.bin;0.3;949;1.27E+09;4.16E+08;3.95E+07;5.79E+04;5.13E+04;3.47E+05;hypo.num;948;23939029;0.981133662;0.942418681;0.39351651;0.884673146;5.986000587;0.04920007;0.030238167;0.010441878
hypo.bin;0.25;791;1.27E+09;6.50E+08;6.06E+07;5.79E+04;5.38E+04;3.82E+05;hypo.num;790;46403169;0.963429684;0.928624494;0.234889691;0.928207695;6.586697968;0.048614084;0.046776079;0.015710155
hypo.bin;0.2;633;1.27E+09;7.31E+08;9.76E+07;5.79E+04;5.46E+04;4.09E+05;hypo.num;632;65942794;0.948030515;0.90977364;0.324647131;0.941671989;7.067235159;0.047786505;0.045959953;0.013988421
hypo.bin;0.15;475;1.27E+09;9.15E+08;1.59E+08;5.79E+04;5.57E+04;4.32E+05;hypo.num;474;95416848;0.924802027;0.895709408;0.399904907;0.962161882;7.457837773;0.046820814;0.045137076;0.018113801
hypo.bin;0.1;317;1.27E+09;1.05E+09;4.24E+08;5.79E+04;5.65E+04;4.60E+05;hypo.num;316;158979339;0.874708458;0.848126531;0.624806283;0.975850581;7.946591635;0.044987762;0.043595898;0.02561778
hypo.bin;0.05;159;1.27E+09;1.13E+09;8.30E+08;5.79E+04;5.70E+04;4.82E+05;hypo.num;158;322224082;0.746055352;0.715006679;0.611585876;0.984205348;8.315185307;0.059170479;0.056953497;0.046199451
iris.bin;1;150;4800;150;150;750;0;0;iris.num;150;150;0.96875;0;0;0;0;0;0;0
iris.bin;0.95;143;4800;150;150;750;0;0;iris.num;142;150;0.96875;0;0;0;0;0.0484375;0;0
iris.bin;0.90000004;135;4800;150;150;750;0;0;iris.num;135;150;0.96875;0;0;0;0;0.0484375;0;0
iris.bin;0.85;128;4800;150;150;750;0;0;iris.num;127;150;0.96875;0;0;0;0;0.0484375;0;0
iris.bin;0.8;120;4800;150;150;750;0;0;iris.num;120;150;0.96875;0;0;0;0;0.0484375;0;0
iris.bin;0.75;113;4800;150;150;750;0;0;iris.num;112;150;0.96875;0;0;0;0;0.0484375;0;0
iris.bin;0.7;105;4800;150;150;750;0;0;iris.num;105;150;0.96875;0;0;0;0;0.0484375;0;0
iris.bin;0.65000004;98;4800;150;150;750;0;0;iris.num;97;150;0.96875;0;0;0;0;0.0484375;0;0
iris.bin;0.6;90;4800;150;150;750;0;0;iris.num;90;150;0.96875;0;0;0;0;0.0484375;0;0
iris.bin;0.55;83;4800;150;150;750;0;0;iris.num;82;150;0.96875;0;0;0;0;0.0484375;0;0
iris.bin;0.5;75;4800;150;150;750;0;0;iris.num;75;150;0.96875;0;0;0;0;0.0484375;0;0
iris.bin;0.45000002;68;4800;150;150;750;0;0;iris.num;67;150;0.96875;0;0;0;0;0.0484375;0;0
iris.bin;0.4;60;4800;150;150;750;0;0;iris.num;60;150;0.96875;0;0;0;0;0.0484375;0;0
iris.bin;0.35;53;4800;362;312;750;162;0;iris.num;52;312;0.935;0.138121547;0;0.216;0;0.04759375;0.003453039;0
